epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,11157.7,0.99102,0.66052,1.07959,0.68461,0.40651,0.4458,0.31831,1.08528,0.79248,1.13792,0.0001156,0.0001156,0.0001156
136,11237.7,0.98442,0.64958,1.07232,0.65097,0.4039,0.44295,0.3175,1.08397,0.79878,1.14381,0.000109,0.000109,0.000109
137,11322.3,1.01265,0.67447,1.08246,0.67464,0.40498,0.44364,0.31777,1.08326,0.79531,1.1363,0.0001024,0.0001024,0.0001024
138,11402.6,0.96679,0.64047,1.06742,0.6812,0.39886,0.44446,0.31898,1.07942,0.79714,1.13894,9.58e-05,9.58e-05,9.58e-05
139,11483.3,1.01217,0.65571,1.07221,0.68479,0.40245,0.44285,0.31616,1.08724,0.80002,1.13622,8.92e-05,8.92e-05,8.92e-05
140,11565.1,1.00446,0.69329,1.07216,0.67943,0.40509,0.44263,0.31607,1.08489,0.79147,1.13533,8.26e-05,8.26e-05,8.26e-05
141,11652.5,1.00015,0.65535,1.09961,0.67284,0.39312,0.43573,0.31378,1.08423,0.79768,1.13544,7.6e-05,7.6e-05,7.6e-05
142,11717.2,0.97297,0.6381,1.09128,0.68084,0.38514,0.43095,0.30974,1.09119,0.80331,1.14227,6.94e-05,6.94e-05,6.94e-05
143,11776.9,0.99624,0.65308,1.07228,0.68068,0.38843,0.43373,0.30998,1.09735,0.80005,1.14238,6.28e-05,6.28e-05,6.28e-05
144,11835.9,0.98113,0.64012,1.08948,0.68025,0.39017,0.43471,0.31394,1.08572,0.80124,1.14299,5.62e-05,5.62e-05,5.62e-05
145,11895.3,0.9901,0.65108,1.07342,0.70022,0.38584,0.43651,0.31443,1.08988,0.79841,1.13946,4.96e-05,4.96e-05,4.96e-05
146,11954.2,0.99603,0.66908,1.08588,0.70273,0.38949,0.43894,0.31725,1.07872,0.79435,1.13779,4.3e-05,4.3e-05,4.3e-05
147,12014.9,1.01229,0.69246,1.06959,0.68355,0.39377,0.43925,0.31563,1.08871,0.79879,1.13842,3.64e-05,3.64e-05,3.64e-05
148,12074,0.96254,0.68448,1.05884,0.68769,0.39073,0.43807,0.31536,1.0894,0.79957,1.13715,2.98e-05,2.98e-05,2.98e-05
149,12134.1,0.94432,0.62465,1.07881,0.66821,0.39529,0.44124,0.31713,1.08533,0.79679,1.13773,2.32e-05,2.32e-05,2.32e-05
150,12193.3,0.96717,0.63477,1.07268,0.68351,0.39345,0.43939,0.31728,1.08148,0.79356,1.13789,1.66e-05,1.66e-05,1.66e-05
